"","Gene.ID","logFC","P.Value"
"Os.2416.1.S1_a_at","4326518",2.47291084572198,1.87387081359816e-07
"Os.2436.1.S1_at","9268730",0.619261874140734,1.92399614171801e-07
"Os.12856.1.S1_x_at","4339461",-6.39287848568442,1.94910482428532e-07
"Os.50340.1.S1_at","4340720",3.46081857522994,1.96325800860776e-07
"Os.54460.1.A1_at","4324646",1.83250872144361,1.98093574730536e-07
"Os.51158.1.S1_at","4345032",6.04167388614826,1.98649828145921e-07
"Os.40244.1.S1_at","9270994",-2.14264026392874,2.10658406732368e-07
"Os.16068.3.S1_at","4330472",-1.13827157906054,2.12810290620449e-07
"Os.27759.1.S1_at","4324179",2.48179991809265,2.14617672052791e-07
"Os.12106.1.S1_at","4333794",-1.6221809607444,2.18709558790749e-07
"Os.16041.1.S1_at","4332421",-4.07165844391379,2.18821845890915e-07
"Os.34741.1.S1_at","4326717",1.26144149756969,2.21307816321086e-07
"Os.26687.1.S1_at","9268154",-2.19790617518425,2.21396716171375e-07
"Os.54304.1.S1_at","4335068",3.49928412209338,2.22642113996632e-07
"Os.25910.1.S1_s_at","4350488",5.89042839459809,2.26714049254309e-07
"Os.5376.1.S1_at","4342224",-3.71543832660061,2.27422960448214e-07
"Os.50478.1.S1_at","4338398",4.67626922325165,2.28891823233506e-07
"Os.23143.1.S1_at","9272362",-2.13563131670211,2.3209879921349e-07
"Os.55595.1.S1_at","4349585",-2.94143530768233,2.32133769135058e-07
"Os.5613.1.S1_s_at","9271427",0.682302134102047,2.37479244426728e-07
"Os.47907.1.S1_at","4335474",-1.67145731677743,2.37831099120199e-07
"Os.8503.1.S1_at","4341416",2.39658466834212,2.38514441134251e-07
"Os.7989.1.S1_at","9267778",2.14058310549847,2.41888877768365e-07
"Os.9923.1.S1_s_at","4331834",2.28864348790966,2.47384533147804e-07
"Os.32504.2.S1_at","4342234",-2.86347681278553,2.47544936262125e-07
"Os.10075.1.S1_at","4343240",-3.19848417526059,2.51278263646463e-07
"Os.38301.2.A1_at","4338062",-3.66836345787193,2.53634793625734e-07
"Os.36283.1.S1_at","4352127",-4.18860895833391,2.55988527001107e-07
"Os.11296.1.S1_a_at","4346628",-1.29290729657109,2.58489173860942e-07
"Os.4610.1.S1_at","4346023",-1.688765473502,2.68115008245289e-07
"Os.8487.1.S1_at","4338247",-1.14697808964108,2.68531096733568e-07
"Os.52488.1.S1_at","4340798",1.39502906439108,2.70624685983241e-07
"Os.6037.1.S1_at","4347211",2.6087054148392,2.71254491755579e-07
"Os.14762.2.S1_s_at","4351221",-0.872827237070335,2.7292921225996e-07
"Os.27474.1.S1_at","4338226",-3.67374880485061,2.72967315746271e-07
"Os.6747.1.S1_a_at","4326058",8.69601205686811,2.73293769463365e-07
"Os.36708.1.S1_at","4342379",-1.76936626767461,2.80695951570453e-07
"Os.12812.1.S1_at","4338499",-2.42290943435171,2.80748584134763e-07
"Os.26719.1.S1_at","4348474",0.977037874038717,2.82078176534162e-07
"Os.56275.1.S1_x_at","4349376",1.66828867852972,2.8278738768542e-07
"Os.10675.1.A1_at","4324866",-2.31770519009649,2.83306205025172e-07
"Os.9190.1.S1_at","4323861",1.11874327100526,2.83345481226195e-07
"Os.46600.1.S1_at","4348490",-3.12223942355993,2.83728648635399e-07
"Os.54281.1.S1_at","4333590",0.580749982429963,2.83811592143286e-07
"Os.5367.1.S1_at","4324201",0.769152338260094,2.84202708363012e-07
"Os.6037.2.S1_x_at","4347211",1.94890688014413,2.85547969293845e-07
"Os.35338.1.S1_at","9271929",-2.65170246958174,2.93472202881986e-07
"Os.12416.1.S1_at","4350636",1.14106970731942,2.94515976333819e-07
"Os.53976.1.S1_at","4333771",-1.86669732727628,2.95846389462753e-07
"Os.49908.2.A1_at","4350883",1.96522558586625,3.00244192317538e-07
"Os.4756.1.S1_at","4329560",-1.27690183485971,3.04717023178409e-07
"Os.33904.1.S1_at","4326764",-1.8442512581634,3.08642537044742e-07
"Os.27078.1.S1_at","4326061",8.21393624011777,3.16055350264834e-07
"Os.2915.1.S1_at","4327292",0.62420140201551,3.21861531474937e-07
"Os.52147.1.S1_at","4350562",0.862311068658668,3.28672698998861e-07
"Os.8926.1.S1_at","4332237",-2.73030024266166,3.30849037094995e-07
"Os.5371.1.S1_s_at","4335704",0.995549853202348,3.30961258005195e-07
"Os.6021.1.S1_at","4332235",-2.33564738055902,3.31402277357976e-07
"Os.9824.1.S2_at","107278649///4339090",-2.4870657337321,3.32185604830528e-07
"Os.159.1.S1_s_at","4332175",2.72218818136964,3.34820711407347e-07
